,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
325,karratha,74,1587176650,35,-20.74,116.85,92.41,4.29,AU
326,sohbatpur,8,1587176996,48,28.52,68.54,79.18,11.79,PK
327,valverde del camino,21,1587176997,93,37.58,15.12,55.0,2.24,IT
328,skerries,75,1587176997,93,53.58,-6.11,46.99,13.87,IE
329,ambovombe,0,1587176997,77,-25.17,46.08,69.21,6.78,MG
330,banepa,20,1587176997,88,27.63,85.52,64.4,4.25,NP
331,carutapera,100,1587176997,90,-1.2,-46.02,76.77,6.82,BR
332,beni suef,100,1587176997,73,0.5,29.47,63.95,1.97,CD
333,yar-sale,100,1587176936,98,66.83,70.83,34.92,10.69,RU
334,sompeta,0,1587176997,59,18.93,84.6,89.24,13.42,IN
335,nyurba,100,1587176906,87,63.28,118.33,14.81,7.47,RU
336,awjilah,0,1587176998,61,29.11,21.29,60.3,7.94,LY
337,cockburn town,75,1587176998,42,-32.08,141.0,64.4,3.36,AU
338,tripoli,0,1587176914,66,32.88,13.19,66.52,8.19,LY
339,kilindoni,100,1587176812,76,-7.91,39.67,83.25,23.78,TZ
340,belaya gora,0,1587176998,49,49.03,25.77,39.0,5.99,UA
341,marhaura,75,1587176998,88,25.97,84.87,77.0,6.93,IN
342,tchollire,16,1587176998,17,8.4,14.17,79.93,2.24,CM
343,vostok,100,1587176999,51,46.49,135.88,48.42,2.21,RU
344,catio,38,1587176999,44,11.28,-15.25,80.91,13.31,GW
345,eydhafushi,97,1587176999,75,5.1,73.07,85.28,10.76,MV
346,nkoteng,97,1587176999,78,4.52,12.03,71.78,6.33,CM
347,zaysan,73,1587176999,36,47.47,84.87,53.56,2.8,KZ
348,bousso,16,1587176999,14,10.48,16.71,78.55,1.83,TD
349,inverness,1,1587176928,86,57.48,-4.22,36.0,1.59,GB
350,shibetsu,20,1587177000,26,43.66,145.13,59.0,11.41,JP
351,san quintin,17,1587176945,12,13.3,-4.9,87.85,5.23,ML
352,olafsvik,100,1587176959,84,64.89,-23.71,42.3,28.05,IS
353,kharp,100,1587177000,91,66.8,65.81,33.37,6.35,RU
354,mudon,92,1587177000,47,16.26,97.72,88.95,3.24,MM
355,boyolangu,19,1587177000,71,-8.12,111.89,85.19,5.39,ID
356,saint-augustin,100,1587176922,90,51.23,-58.65,23.63,9.22,CA
357,arlit,0,1587176905,13,18.74,7.39,80.11,5.23,NE
358,taoudenni,37,1587176925,23,22.68,-3.98,86.99,3.58,ML
359,zapolyarnyy,100,1587176928,97,69.42,30.81,32.0,28.86,RU
360,danane,100,1587177001,83,7.26,-8.15,75.92,3.38,CI
361,sambava,57,1587177001,85,-14.27,50.17,73.76,8.16,MG
362,naze,75,1587176764,78,28.37,129.48,71.6,8.05,JP
363,rocky mountain house,1,1587177002,65,35.16,-99.06,46.4,8.05,US
364,axim,100,1587176817,86,4.87,-2.24,80.69,9.06,GH
365,lircay,98,1587177002,29,-12.99,-74.72,45.63,1.5,PE
366,kiunga,100,1587177002,47,-6.12,141.29,95.61,1.95,PG
367,torbay,75,1587176914,63,47.67,-52.73,30.99,6.93,CA
368,miracema do tocantins,95,1587177002,88,-21.41,-42.2,67.42,1.34,BR
369,tazovskiy,100,1587176954,99,67.47,78.7,35.6,17.63,RU
370,mweka,100,1587177003,82,-4.85,21.57,68.99,0.47,CD
371,redmond,99,1587176937,37,47.67,-122.12,64.0,1.97,US
372,longkou,20,1587177003,50,37.65,120.33,58.26,8.3,CN
373,mafeteng,0,1587177003,28,-29.82,27.24,44.96,3.53,LS
374,najran,5,1587177003,68,17.49,44.13,69.8,2.24,SA
375,griffith,1,1587176918,87,41.53,-87.42,35.6,5.46,US
376,virginia beach,20,1587177004,39,37.55,-77.45,64.0,12.75,US
377,sedona,1,1587177004,29,34.87,-111.76,62.01,13.87,US
378,dingle,39,1587176885,58,11.0,122.67,89.1,13.56,PH
379,pinyug,93,1587177004,91,60.25,47.78,32.18,2.21,RU
380,sikonge,99,1587177004,69,-5.63,32.77,63.18,4.07,TZ
381,naryan-mar,99,1587177004,98,67.67,53.09,31.77,8.43,RU
382,smrzovka,26,1587177005,82,50.74,15.25,39.99,1.59,CZ
